year,name,count,start
01/08/16,FTCR China Consumer Index,66.2,01/07/11
01/09/16,FTCR China Consumer Index,70.88,01/07/11
01/10/16,FTCR China Consumer Index,67.28,01/07/11
01/11/16,FTCR China Consumer Index,67.78,01/07/11
01/12/16,FTCR China Consumer Index,70.26,01/07/11
01/01/17,FTCR China Consumer Index,69.22,01/07/11
01/02/17,FTCR China Consumer Index,70.44,01/07/11
01/01/12,FTCR China Labour Market Index,69.6,01/01/12
01/02/12,FTCR China Labour Market Index,67.6,01/01/12
01/03/12,FTCR China Labour Market Index,67.5,01/01/12
01/04/12,FTCR China Labour Market Index,68.2,01/01/12
01/05/12,FTCR China Labour Market Index,69.8,01/01/12
01/06/12,FTCR China Labour Market Index,68.1,01/01/12
01/07/12,FTCR China Labour Market Index,72,01/01/12
01/08/12,FTCR China Labour Market Index,71.8,01/01/12
01/09/12,FTCR China Labour Market Index,67.8,01/01/12
01/10/12,FTCR China Labour Market Index,69.8,01/01/12
01/11/12,FTCR China Labour Market Index,67.3,01/01/12
01/12/12,FTCR China Labour Market Index,67.3,01/01/12
01/01/13,FTCR China Labour Market Index,65.8,01/01/12
01/02/13,FTCR China Labour Market Index,68.8,01/01/12
01/03/13,FTCR China Labour Market Index,65.2,01/01/12
01/04/13,FTCR China Labour Market Index,68.2,01/01/12
01/05/13,FTCR China Labour Market Index,71.2,01/01/12
01/06/13,FTCR China Labour Market Index,70.9,01/01/12
01/07/13,FTCR China Labour Market Index,73.8,01/01/12
01/08/13,FTCR China Labour Market Index,75,01/01/12
01/09/13,FTCR China Labour Market Index,71.5,01/01/12
01/10/13,FTCR China Labour Market Index,71.3,01/01/12
01/11/13,FTCR China Labour Market Index,72.3,01/01/12
01/12/13,FTCR China Labour Market Index,70.5,01/01/12
01/01/14,FTCR China Labour Market Index,68.8,01/01/12
01/02/14,FTCR China Labour Market Index,68,01/01/12
01/03/14,FTCR China Labour Market Index,71.6,01/01/12
01/04/14,FTCR China Labour Market Index,72,01/01/12
01/05/14,FTCR China Labour Market Index,72.4,01/01/12
01/06/14,FTCR China Labour Market Index,71.8,01/01/12
01/07/14,FTCR China Labour Market Index,71.7,01/01/12
01/08/14,FTCR China Labour Market Index,69.9,01/01/12
01/09/14,FTCR China Labour Market Index,68.3,01/01/12
01/10/14,FTCR China Labour Market Index,69.9,01/01/12
01/11/14,FTCR China Labour Market Index,68.3,01/01/12
01/12/14,FTCR China Labour Market Index,69.1,01/01/12
01/01/15,FTCR China Labour Market Index,70.6,01/01/12
01/02/15,FTCR China Labour Market Index,71.4,01/01/12
01/03/15,FTCR China Labour Market Index,69.1,01/01/12
01/04/15,FTCR China Labour Market Index,70.9,01/01/12
01/05/15,FTCR China Labour Market Index,70.6,01/01/12
01/06/15,FTCR China Labour Market Index,69.1,01/01/12
01/07/15,FTCR China Labour Market Index,68.5,01/01/12
01/08/15,FTCR China Labour Market Index,68.5,01/01/12
01/09/15,FTCR China Labour Market Index,68.9,01/01/12
01/10/15,FTCR China Labour Market Index,68,01/01/12
01/11/15,FTCR China Labour Market Index,70.6,01/01/12
01/12/15,FTCR China Labour Market Index,68.2,01/01/12
01/01/16,FTCR China Labour Market Index,66,01/01/12
01/02/16,FTCR China Labour Market Index,62.5,01/01/12
01/03/16,FTCR China Labour Market Index,64.6,01/01/12
01/04/16,FTCR China Labour Market Index,63.7,01/01/12
01/05/16,FTCR China Labour Market Index,65.7,01/01/12
01/06/16,FTCR China Labour Market Index,65.8,01/01/12
01/07/16,FTCR China Labour Market Index,63.1,01/01/12
01/08/16,FTCR China Labour Market Index,64,01/01/12
01/09/16,FTCR China Labour Market Index,64.4,01/01/12
01/10/16,FTCR China Labour Market Index,67.4,01/01/12
01/11/16,FTCR China Labour Market Index,65.3,01/01/12
01/12/16,FTCR China Labour Market Index,64.4,01/01/12
01/01/17,FTCR China Labour Market Index,66.4,01/01/12
01/01/12,FTCR China Export Index,69.6,01/01/12
01/02/12,FTCR China Export Index,67.6,01/01/12
01/03/12,FTCR China Export Index,67.5,01/01/12
01/04/12,FTCR China Export Index,68.2,01/01/12
01/05/12,FTCR China Export Index,69.8,01/01/12
01/06/12,FTCR China Export Index,68.1,01/01/12
01/07/12,FTCR China Export Index,72,01/01/12
01/08/12,FTCR China Export Index,71.8,01/01/12
01/09/12,FTCR China Export Index,67.8,01/01/12
01/10/12,FTCR China Export Index,69.8,01/01/12
01/11/12,FTCR China Export Index,67.3,01/01/12
01/12/12,FTCR China Export Index,67.3,01/01/12
01/01/13,FTCR China Export Index,65.8,01/01/12
01/02/13,FTCR China Export Index,68.8,01/01/12
01/03/13,FTCR China Export Index,65.2,01/01/12
01/04/13,FTCR China Export Index,68.2,01/01/12
01/05/13,FTCR China Export Index,71.2,01/01/12
01/06/13,FTCR China Export Index,70.9,01/01/12
01/07/13,FTCR China Export Index,73.8,01/01/12
01/08/13,FTCR China Export Index,75,01/01/12
01/09/13,FTCR China Export Index,71.5,01/01/12
01/10/13,FTCR China Export Index,71.3,01/01/12
01/11/13,FTCR China Export Index,72.3,01/01/12
01/12/13,FTCR China Export Index,70.5,01/01/12
01/01/14,FTCR China Export Index,68.8,01/01/12
01/02/14,FTCR China Export Index,68,01/01/12
01/03/14,FTCR China Export Index,71.6,01/01/12
01/04/14,FTCR China Export Index,72,01/01/12
01/05/14,FTCR China Export Index,72.4,01/01/12
01/06/14,FTCR China Export Index,71.8,01/01/12
01/07/14,FTCR China Export Index,71.7,01/01/12
01/08/14,FTCR China Export Index,69.9,01/01/12
01/09/14,FTCR China Export Index,68.3,01/01/12
01/10/14,FTCR China Export Index,69.9,01/01/12
01/11/14,FTCR China Export Index,68.3,01/01/12
01/12/14,FTCR China Export Index,69.1,01/01/12
01/01/15,FTCR China Export Index,70.6,01/01/12
01/02/15,FTCR China Export Index,71.4,01/01/12
01/03/15,FTCR China Export Index,69.1,01/01/12
01/04/15,FTCR China Export Index,70.9,01/01/12
01/05/15,FTCR China Export Index,70.6,01/01/12
01/06/15,FTCR China Export Index,69.1,01/01/12
01/07/15,FTCR China Export Index,68.5,01/01/12
01/08/15,FTCR China Export Index,68.5,01/01/12
01/09/15,FTCR China Export Index,68.9,01/01/12
01/10/15,FTCR China Export Index,68,01/01/12
01/11/15,FTCR China Export Index,70.6,01/01/12
01/12/15,FTCR China Export Index,68.2,01/01/12
01/01/16,FTCR China Export Index,66,01/01/12
01/02/16,FTCR China Export Index,62.5,01/01/12
01/03/16,FTCR China Export Index,64.6,01/01/12
01/04/16,FTCR China Export Index,63.7,01/01/12
01/05/16,FTCR China Export Index,65.7,01/01/12
01/06/16,FTCR China Export Index,65.8,01/01/12
01/07/16,FTCR China Export Index,63.1,01/01/12
01/08/16,FTCR China Export Index,64,01/01/12
01/09/16,FTCR China Export Index,64.4,01/01/12
01/10/16,FTCR China Export Index,67.4,01/01/12
01/11/16,FTCR China Export Index,65.3,01/01/12
01/12/16,FTCR China Export Index,64.4,01/01/12
01/01/17,FTCR China Export Index,66.4,01/01/12
01/01/12,FTCR China Real Estate Index,69.6,01/01/12
01/02/12,FTCR China Real Estate Index,67.6,01/01/12
01/03/12,FTCR China Real Estate Index,67.5,01/01/12
01/04/12,FTCR China Real Estate Index,68.2,01/01/12
01/05/12,FTCR China Real Estate Index,69.8,01/01/12
01/06/12,FTCR China Real Estate Index,68.1,01/01/12
01/07/12,FTCR China Real Estate Index,72,01/01/12
01/08/12,FTCR China Real Estate Index,71.8,01/01/12
01/09/12,FTCR China Real Estate Index,67.8,01/01/12
01/10/12,FTCR China Real Estate Index,69.8,01/01/12
01/11/12,FTCR China Real Estate Index,67.3,01/01/12
01/12/12,FTCR China Real Estate Index,67.3,01/01/12
01/01/13,FTCR China Real Estate Index,65.8,01/01/12
01/02/13,FTCR China Real Estate Index,68.8,01/01/12
01/03/13,FTCR China Real Estate Index,65.2,01/01/12
01/04/13,FTCR China Real Estate Index,68.2,01/01/12
01/05/13,FTCR China Real Estate Index,71.2,01/01/12
01/06/13,FTCR China Real Estate Index,70.9,01/01/12
01/07/13,FTCR China Real Estate Index,73.8,01/01/12
01/08/13,FTCR China Real Estate Index,75,01/01/12
01/09/13,FTCR China Real Estate Index,71.5,01/01/12
01/10/13,FTCR China Real Estate Index,71.3,01/01/12
01/11/13,FTCR China Real Estate Index,72.3,01/01/12
01/12/13,FTCR China Real Estate Index,70.5,01/01/12
01/01/14,FTCR China Real Estate Index,68.8,01/01/12
01/02/14,FTCR China Real Estate Index,68,01/01/12
01/03/14,FTCR China Real Estate Index,71.6,01/01/12
01/04/14,FTCR China Real Estate Index,72,01/01/12
01/05/14,FTCR China Real Estate Index,72.4,01/01/12
01/06/14,FTCR China Real Estate Index,71.8,01/01/12
01/07/14,FTCR China Real Estate Index,71.7,01/01/12
01/08/14,FTCR China Real Estate Index,69.9,01/01/12
01/09/14,FTCR China Real Estate Index,68.3,01/01/12
01/10/14,FTCR China Real Estate Index,69.9,01/01/12
01/11/14,FTCR China Real Estate Index,68.3,01/01/12
01/12/14,FTCR China Real Estate Index,69.1,01/01/12
01/01/15,FTCR China Real Estate Index,70.6,01/01/12
01/02/15,FTCR China Real Estate Index,71.4,01/01/12
01/03/15,FTCR China Real Estate Index,69.1,01/01/12
01/04/15,FTCR China Real Estate Index,70.9,01/01/12
01/05/15,FTCR China Real Estate Index,70.6,01/01/12
01/06/15,FTCR China Real Estate Index,69.1,01/01/12
01/07/15,FTCR China Real Estate Index,68.5,01/01/12
01/08/15,FTCR China Real Estate Index,68.5,01/01/12
01/09/15,FTCR China Real Estate Index,68.9,01/01/12
01/10/15,FTCR China Real Estate Index,68,01/01/12
01/11/15,FTCR China Real Estate Index,70.6,01/01/12
01/12/15,FTCR China Real Estate Index,68.2,01/01/12
01/01/16,FTCR China Real Estate Index,66,01/01/12
01/02/16,FTCR China Real Estate Index,62.5,01/01/12
01/03/16,FTCR China Real Estate Index,64.6,01/01/12
01/04/16,FTCR China Real Estate Index,63.7,01/01/12
01/05/16,FTCR China Real Estate Index,65.7,01/01/12
01/06/16,FTCR China Real Estate Index,65.8,01/01/12
01/07/16,FTCR China Real Estate Index,63.1,01/01/12
01/08/16,FTCR China Real Estate Index,64,01/01/12
01/09/16,FTCR China Real Estate Index,64.4,01/01/12
01/10/16,FTCR China Real Estate Index,67.4,01/01/12
01/11/16,FTCR China Real Estate Index,65.3,01/01/12
01/12/16,FTCR China Real Estate Index,64.4,01/01/12
01/01/17,FTCR China Real Estate Index,66.4,01/01/12
01/01/12,FTCR Underground Lending Index,69.6,01/01/12
01/02/12,FTCR Underground Lending Index,67.6,01/01/12
01/03/12,FTCR Underground Lending Index,67.5,01/01/12
01/04/12,FTCR Underground Lending Index,68.2,01/01/12
01/05/12,FTCR Underground Lending Index,69.8,01/01/12
01/06/12,FTCR Underground Lending Index,68.1,01/01/12
01/07/12,FTCR Underground Lending Index,72,01/01/12
01/08/12,FTCR Underground Lending Index,71.8,01/01/12
01/09/12,FTCR Underground Lending Index,67.8,01/01/12
01/10/12,FTCR Underground Lending Index,69.8,01/01/12
01/11/12,FTCR Underground Lending Index,67.3,01/01/12
01/12/12,FTCR Underground Lending Index,67.3,01/01/12
01/01/13,FTCR Underground Lending Index,65.8,01/01/12
01/02/13,FTCR Underground Lending Index,68.8,01/01/12
01/03/13,FTCR Underground Lending Index,65.2,01/01/12
01/04/13,FTCR Underground Lending Index,68.2,01/01/12
01/05/13,FTCR Underground Lending Index,71.2,01/01/12
01/06/13,FTCR Underground Lending Index,70.9,01/01/12
01/07/13,FTCR Underground Lending Index,73.8,01/01/12
01/08/13,FTCR Underground Lending Index,75,01/01/12
01/09/13,FTCR Underground Lending Index,71.5,01/01/12
01/10/13,FTCR Underground Lending Index,71.3,01/01/12
01/11/13,FTCR Underground Lending Index,72.3,01/01/12
01/12/13,FTCR Underground Lending Index,70.5,01/01/12
01/01/14,FTCR Underground Lending Index,68.8,01/01/12
01/02/14,FTCR Underground Lending Index,68,01/01/12
01/03/14,FTCR Underground Lending Index,71.6,01/01/12
01/04/14,FTCR Underground Lending Index,72,01/01/12
01/05/14,FTCR Underground Lending Index,72.4,01/01/12
01/06/14,FTCR Underground Lending Index,71.8,01/01/12
01/07/14,FTCR Underground Lending Index,71.7,01/01/12
01/08/14,FTCR Underground Lending Index,69.9,01/01/12
01/09/14,FTCR Underground Lending Index,68.3,01/01/12
01/10/14,FTCR Underground Lending Index,69.9,01/01/12
01/11/14,FTCR Underground Lending Index,68.3,01/01/12
01/12/14,FTCR Underground Lending Index,69.1,01/01/12
01/01/15,FTCR Underground Lending Index,70.6,01/01/12
01/02/15,FTCR Underground Lending Index,71.4,01/01/12
01/03/15,FTCR Underground Lending Index,69.1,01/01/12
01/04/15,FTCR Underground Lending Index,70.9,01/01/12
01/05/15,FTCR Underground Lending Index,70.6,01/01/12
01/06/15,FTCR Underground Lending Index,69.1,01/01/12
01/07/15,FTCR Underground Lending Index,68.5,01/01/12
01/08/15,FTCR Underground Lending Index,68.5,01/01/12
01/09/15,FTCR Underground Lending Index,68.9,01/01/12
01/10/15,FTCR Underground Lending Index,68,01/01/12
01/11/15,FTCR Underground Lending Index,70.6,01/01/12
01/12/15,FTCR Underground Lending Index,68.2,01/01/12
01/01/16,FTCR Underground Lending Index,66,01/01/12
01/02/16,FTCR Underground Lending Index,62.5,01/01/12
01/03/16,FTCR Underground Lending Index,64.6,01/01/12
01/04/16,FTCR Underground Lending Index,63.7,01/01/12
01/05/16,FTCR Underground Lending Index,65.7,01/01/12
01/06/16,FTCR Underground Lending Index,65.8,01/01/12
01/07/16,FTCR Underground Lending Index,63.1,01/01/12
01/08/16,FTCR Underground Lending Index,64,01/01/12
01/09/16,FTCR Underground Lending Index,64.4,01/01/12
01/10/16,FTCR Underground Lending Index,67.4,01/01/12
01/11/16,FTCR Underground Lending Index,65.3,01/01/12
01/12/16,FTCR Underground Lending Index,64.4,01/01/12
01/01/17,FTCR Underground Lending Index,66.4,01/01/12
01/03/11,FTCR China Freight Index,42.67,01/03/11
01/04/11,FTCR China Freight Index,42.95,01/03/11
01/05/11,FTCR China Freight Index,44.05,01/03/11
01/06/11,FTCR China Freight Index,41.36,01/03/11
01/07/11,FTCR China Freight Index,40.36,01/03/11
01/08/11,FTCR China Freight Index,43.8,01/03/11
01/09/11,FTCR China Freight Index,59.23,01/03/11
01/10/11,FTCR China Freight Index,52.32,01/03/11
01/11/11,FTCR China Freight Index,43.15,01/03/11
01/12/11,FTCR China Freight Index,46.68,01/03/11
01/01/12,FTCR China Freight Index,46.1,01/03/11
01/02/12,FTCR China Freight Index,41.89,01/03/11
01/03/12,FTCR China Freight Index,42.67,01/03/11
01/04/12,FTCR China Freight Index,40.73,01/03/11
01/05/12,FTCR China Freight Index,43.57,01/03/11
01/06/12,FTCR China Freight Index,47.47,01/03/11
01/07/12,FTCR China Freight Index,47,01/03/11
01/08/12,FTCR China Freight Index,54.94,01/03/11
01/09/12,FTCR China Freight Index,55.33,01/03/11
01/10/12,FTCR China Freight Index,55.19,01/03/11
01/11/12,FTCR China Freight Index,53.68,01/03/11
01/12/12,FTCR China Freight Index,52.22,01/03/11
01/01/13,FTCR China Freight Index,53.86,01/03/11
01/02/13,FTCR China Freight Index,46.46,01/03/11
01/03/13,FTCR China Freight Index,59.89,01/03/11
01/04/13,FTCR China Freight Index,50.66,01/03/11
01/05/13,FTCR China Freight Index,49.65,01/03/11
01/06/13,FTCR China Freight Index,46.56,01/03/11
01/07/13,FTCR China Freight Index,52.11,01/03/11
01/08/13,FTCR China Freight Index,53.45,01/03/11
01/09/13,FTCR China Freight Index,62.77,01/03/11
01/10/13,FTCR China Freight Index,62.13,01/03/11
01/11/13,FTCR China Freight Index,62.61,01/03/11
01/12/13,FTCR China Freight Index,55.76,01/03/11
01/01/14,FTCR China Freight Index,51.68,01/03/11
01/02/14,FTCR China Freight Index,46.44,01/03/11
01/03/14,FTCR China Freight Index,56.58,01/03/11
01/04/14,FTCR China Freight Index,52.27,01/03/11
01/05/14,FTCR China Freight Index,50.36,01/03/11
01/06/14,FTCR China Freight Index,47.93,01/03/11
01/07/14,FTCR China Freight Index,49.81,01/03/11
01/08/14,FTCR China Freight Index,53.3,01/03/11
01/09/14,FTCR China Freight Index,51.3,01/03/11
01/10/14,FTCR China Freight Index,53.86,01/03/11
01/11/14,FTCR China Freight Index,55.83,01/03/11
01/12/14,FTCR China Freight Index,51.74,01/03/11
01/01/15,FTCR China Freight Index,50.61,01/03/11
01/02/15,FTCR China Freight Index,42.3,01/03/11
01/03/15,FTCR China Freight Index,47.75,01/03/11
01/04/15,FTCR China Freight Index,47.2,01/03/11
01/05/15,FTCR China Freight Index,47.96,01/03/11
01/06/15,FTCR China Freight Index,45.8,01/03/11
01/07/15,FTCR China Freight Index,47.33,01/03/11
01/08/15,FTCR China Freight Index,40.74,01/03/11
01/09/15,FTCR China Freight Index,47.45,01/03/11
01/10/15,FTCR China Freight Index,47,01/03/11
01/11/15,FTCR China Freight Index,46.41,01/03/11
01/12/15,FTCR China Freight Index,50.79,01/03/11
01/01/16,FTCR China Freight Index,45.02,01/03/11
01/02/16,FTCR China Freight Index,46.45,01/03/11
01/03/16,FTCR China Freight Index,44.35,01/03/11
01/04/16,FTCR China Freight Index,46.72,01/03/11
01/05/16,FTCR China Freight Index,44,01/03/11
01/06/16,FTCR China Freight Index,46.31,01/03/11
01/07/16,FTCR China Freight Index,47.38,01/03/11
01/08/16,FTCR China Freight Index,43.94,01/03/11
01/09/16,FTCR China Freight Index,50.64,01/03/11
01/10/16,FTCR China Freight Index,51.82,01/03/11
01/11/16,FTCR China Freight Index,53.59,01/03/11
01/12/16,FTCR China Freight Index,52.45,01/03/11
01/01/17,FTCR China Freight Index,46.99,01/03/11
01/02/17,FTCR China Freight Index,43.05,01/03/11
