year,name,count,start
01/12/15,Asean 1,65.78,01/07/11
01/01/16,Asean 1,63.08,01/07/11
01/02/16,Asean 1,64,01/07/11
01/03/16,Asean 1,64.42,01/07/11
01/04/16,Asean 1,67.44,01/07/11
01/05/16,Asean 1,65.34,01/07/11
01/06/16,Asean 1,64.44,01/07/11
01/07/16,Asean 1,66.4,01/07/11
01/08/16,Asean 1,66.2,01/07/11
01/09/16,Asean 1,70.88,01/07/11
01/10/16,Asean 1,67.28,01/07/11
01/11/16,Asean 1,67.78,01/07/11
01/12/16,Asean 1,70.26,01/07/11
01/01/17,Asean 1,69.22,01/07/11
01/02/17,Asean 1,70.44,01/07/11
01/01/12,Asean 2,69.6,01/01/12
01/02/12,Asean 2,67.6,01/01/12
01/03/12,Asean 2,67.5,01/01/12
01/04/12,Asean 2,68.2,01/01/12
01/05/12,Asean 2,69.8,01/01/12
01/06/12,Asean 2,68.1,01/01/12
01/07/12,Asean 2,72,01/01/12
01/08/12,Asean 2,71.8,01/01/12
01/09/12,Asean 2,67.8,01/01/12
01/10/12,Asean 2,69.8,01/01/12
01/11/12,Asean 2,67.3,01/01/12
01/12/12,Asean 2,67.3,01/01/12
01/01/13,Asean 2,65.8,01/01/12
01/02/13,Asean 2,68.8,01/01/12
01/03/13,Asean 2,65.2,01/01/12
01/04/13,Asean 2,68.2,01/01/12
01/05/13,Asean 2,71.2,01/01/12
01/06/13,Asean 2,70.9,01/01/12
01/07/13,Asean 2,73.8,01/01/12
01/08/13,Asean 2,75,01/01/12
01/09/13,Asean 2,71.5,01/01/12
01/10/13,Asean 2,71.3,01/01/12
01/11/13,Asean 2,72.3,01/01/12
01/12/13,Asean 2,70.5,01/01/12
01/01/14,Asean 2,68.8,01/01/12
01/02/14,Asean 2,68,01/01/12
01/03/14,Asean 2,71.6,01/01/12
01/04/14,Asean 2,72,01/01/12
01/05/14,Asean 2,72.4,01/01/12
01/06/14,Asean 2,71.8,01/01/12
01/07/14,Asean 2,71.7,01/01/12
01/08/14,Asean 2,69.9,01/01/12
01/09/14,Asean 2,68.3,01/01/12
01/10/14,Asean 2,69.9,01/01/12
01/11/14,Asean 2,68.3,01/01/12
01/12/14,Asean 2,69.1,01/01/12
01/01/15,Asean 2,70.6,01/01/12
01/02/15,Asean 2,71.4,01/01/12
01/03/15,Asean 2,69.1,01/01/12
01/04/15,Asean 2,70.9,01/01/12
01/05/15,Asean 2,70.6,01/01/12
01/06/15,Asean 2,69.1,01/01/12
01/07/15,Asean 2,68.5,01/01/12
01/08/15,Asean 2,68.5,01/01/12
01/09/15,Asean 2,68.9,01/01/12
01/10/15,Asean 2,68,01/01/12
01/11/15,Asean 2,70.6,01/01/12
01/12/15,Asean 2,68.2,01/01/12
01/01/16,Asean 2,66,01/01/12
01/02/16,Asean 2,62.5,01/01/12
01/03/16,Asean 2,64.6,01/01/12
01/04/16,Asean 2,63.7,01/01/12
01/05/16,Asean 2,65.7,01/01/12
01/06/16,Asean 2,65.8,01/01/12
01/07/16,Asean 2,63.1,01/01/12
01/08/16,Asean 2,64,01/01/12
01/09/16,Asean 2,64.4,01/01/12
01/10/16,Asean 2,67.4,01/01/12
01/11/16,Asean 2,65.3,01/01/12
01/12/16,Asean 2,64.4,01/01/12
01/01/17,Asean 2,66.4,01/01/12
01/01/12,Asean 3,69.6,01/01/12
01/02/12,Asean 3,67.6,01/01/12
01/03/12,Asean 3,67.5,01/01/12
01/04/12,Asean 3,68.2,01/01/12
01/05/12,Asean 3,69.8,01/01/12
01/06/12,Asean 3,68.1,01/01/12
01/07/12,Asean 3,72,01/01/12
01/08/12,Asean 3,71.8,01/01/12
01/09/12,Asean 3,67.8,01/01/12
01/10/12,Asean 3,69.8,01/01/12
01/11/12,Asean 3,67.3,01/01/12
01/12/12,Asean 3,67.3,01/01/12
01/01/13,Asean 3,65.8,01/01/12
01/02/13,Asean 3,68.8,01/01/12
01/03/13,Asean 3,65.2,01/01/12
01/04/13,Asean 3,68.2,01/01/12
01/05/13,Asean 3,71.2,01/01/12
01/06/13,Asean 3,70.9,01/01/12
01/07/13,Asean 3,73.8,01/01/12
01/08/13,Asean 3,75,01/01/12
01/09/13,Asean 3,71.5,01/01/12
01/10/13,Asean 3,71.3,01/01/12
01/11/13,Asean 3,72.3,01/01/12
01/12/13,Asean 3,70.5,01/01/12
01/01/14,Asean 3,68.8,01/01/12
01/02/14,Asean 3,68,01/01/12
01/03/14,Asean 3,71.6,01/01/12
01/04/14,Asean 3,72,01/01/12
01/05/14,Asean 3,72.4,01/01/12
01/06/14,Asean 3,71.8,01/01/12
01/07/14,Asean 3,71.7,01/01/12
01/08/14,Asean 3,69.9,01/01/12
01/09/14,Asean 3,68.3,01/01/12
01/10/14,Asean 3,69.9,01/01/12
01/11/14,Asean 3,68.3,01/01/12
01/12/14,Asean 3,69.1,01/01/12
01/01/15,Asean 3,70.6,01/01/12
01/02/15,Asean 3,71.4,01/01/12
01/03/15,Asean 3,69.1,01/01/12
01/04/15,Asean 3,70.9,01/01/12
01/05/15,Asean 3,70.6,01/01/12
01/06/15,Asean 3,69.1,01/01/12
01/07/15,Asean 3,68.5,01/01/12
01/08/15,Asean 3,68.5,01/01/12
01/09/15,Asean 3,68.9,01/01/12
01/10/15,Asean 3,68,01/01/12
01/11/15,Asean 3,70.6,01/01/12
01/12/15,Asean 3,68.2,01/01/12
01/01/16,Asean 3,66,01/01/12
01/02/16,Asean 3,62.5,01/01/12
01/03/16,Asean 3,64.6,01/01/12
01/04/16,Asean 3,63.7,01/01/12
01/05/16,Asean 3,65.7,01/01/12
01/06/16,Asean 3,65.8,01/01/12
01/07/16,Asean 3,63.1,01/01/12
01/08/16,Asean 3,64,01/01/12
01/09/16,Asean 3,64.4,01/01/12
01/10/16,Asean 3,67.4,01/01/12
01/11/16,Asean 3,65.3,01/01/12
01/12/16,Asean 3,64.4,01/01/12
01/01/17,Asean 3,66.4,01/01/12
01/01/12,Asean 4,69.6,01/01/12
01/02/12,Asean 4,67.6,01/01/12
01/03/12,Asean 4,67.5,01/01/12
01/04/12,Asean 4,68.2,01/01/12
01/05/12,Asean 4,69.8,01/01/12
01/06/12,Asean 4,68.1,01/01/12
01/07/12,Asean 4,72,01/01/12
01/08/12,Asean 4,71.8,01/01/12
01/09/12,Asean 4,67.8,01/01/12
01/10/12,Asean 4,69.8,01/01/12
01/11/12,Asean 4,67.3,01/01/12
01/12/12,Asean 4,67.3,01/01/12
01/01/13,Asean 4,65.8,01/01/12
01/02/13,Asean 4,68.8,01/01/12
01/03/13,Asean 4,65.2,01/01/12
01/04/13,Asean 4,68.2,01/01/12
01/05/13,Asean 4,71.2,01/01/12
01/06/13,Asean 4,70.9,01/01/12
01/07/13,Asean 4,73.8,01/01/12
01/08/13,Asean 4,75,01/01/12
01/09/13,Asean 4,71.5,01/01/12
01/10/13,Asean 4,71.3,01/01/12
01/11/13,Asean 4,72.3,01/01/12
01/12/13,Asean 4,70.5,01/01/12
01/01/14,Asean 4,68.8,01/01/12
01/02/14,Asean 4,68,01/01/12
01/03/14,Asean 4,71.6,01/01/12
01/04/14,Asean 4,72,01/01/12
01/05/14,Asean 4,72.4,01/01/12
01/06/14,Asean 4,71.8,01/01/12
01/07/14,Asean 4,71.7,01/01/12
01/08/14,Asean 4,69.9,01/01/12
01/09/14,Asean 4,68.3,01/01/12
01/10/14,Asean 4,69.9,01/01/12
01/11/14,Asean 4,68.3,01/01/12
01/12/14,Asean 4,69.1,01/01/12
01/01/15,Asean 4,70.6,01/01/12
01/02/15,Asean 4,71.4,01/01/12
01/03/15,Asean 4,69.1,01/01/12
01/04/15,Asean 4,70.9,01/01/12
01/05/15,Asean 4,70.6,01/01/12
01/06/15,Asean 4,69.1,01/01/12
01/07/15,Asean 4,68.5,01/01/12
01/08/15,Asean 4,68.5,01/01/12
01/09/15,Asean 4,68.9,01/01/12
01/10/15,Asean 4,68,01/01/12
01/11/15,Asean 4,70.6,01/01/12
01/12/15,Asean 4,68.2,01/01/12
01/01/16,Asean 4,66,01/01/12
01/02/16,Asean 4,62.5,01/01/12
01/03/16,Asean 4,64.6,01/01/12
01/04/16,Asean 4,63.7,01/01/12
01/05/16,Asean 4,65.7,01/01/12
01/06/16,Asean 4,65.8,01/01/12
01/07/16,Asean 4,63.1,01/01/12
01/08/16,Asean 4,64,01/01/12
01/09/16,Asean 4,64.4,01/01/12
01/10/16,Asean 4,67.4,01/01/12
01/11/16,Asean 4,65.3,01/01/12
01/12/16,Asean 4,64.4,01/01/12
01/01/17,Asean 4,66.4,01/01/12
